467522,534506,701385,804260|583954|106096|355271|317103|110797|604727|33902|658109|187766|760374|980238|409546|441918|219000|860758|986664|760027|180970|72|520166|391681|698386|506939|959375|,293567|33311|555852|856650|470073|627803|231906|873887|460350|888956|787933|798297|397317|346458|19931|416454|476553|379068|661222|906075|355134|945995|399549|77812|872238|,358056|872510|460154|26869|253529|967853|798302|273621|290014|116387|149377|208567|361314|17301|311798|977343|439309|638784|48479|385226|730166|385198|69748|585415|578422|,523,547,50522,74111104111000000000000000000000000000000000000000000000000000000000000521,68111102000000000000000000000000000000000000000000000000000000000000000521,106111104110046100111101064101120097109112108101046099111110000000000000521,1
892456,482338,179247,516184|67577|974991|722594|80556|559002|298428|468192|937083|724863|9988|318880|947924|303293|465857|152144|654725|589590|773390|414890|789989|5027|793894|503920|312910|,669788|295531|488004|667049|398599|893891|38630|329250|675195|745117|24394|624570|334096|819282|240469|413242|634278|348006|504052|666309|816846|213933|550681|434375|952280|,72970|501267|591050|971129|193363|144009|822375|802905|849616|970131|643673|136183|440354|633526|658733|620538|767745|885369|832725|382869|971678|415464|917917|981845|99303|,524,552,60522,74097110102000000000000000000000000000000000000000000000000000000000000521,83109105116105000000000000000000000000000000000000000000000000000000000521,106097110101046115109105116104064101120097109112108101046099111110000000521,2
714853,176309,403466,366185|216613|249772|223184|856655|735438|427710|219513|513224|884780|982724|74392|821511|892810|812425|876076|939108|493619|734141|379496|163808|980869|619331|803099|474309|,301614|996837|648257|407852|661190|850215|660133|94360|198601|871225|214257|640640|170095|144389|536084|516202|470634|84073|606094|945395|583804|323327|858075|939563|183666|,387671|640122|297117|287552|385222|275096|711148|557434|531160|579998|171928|79085|550496|232788|293280|990744|708529|330544|309506|691530|655013|468799|880862|722393|899674|,525,550,55522,66111099000000000000000000000000000000000000000000000000000000000000000521,74111104110115111111000000000000000000000000000000000000000000000000000521,98111098046106111104110115111110064101120097109112108101046099111110000521,3
162991,68217,641660,216253|743095|410396|111814|98558|372323|253980|570368|469667|788159|790133|437729|276024|405471|387664|444908|565796|699594|88868|437414|596312|987905|979896|407347|504672|,750255|269574|746637|281308|202542|222396|573919|135368|670195|667356|453508|536630|91032|428291|364631|446558|132805|55878|849014|784716|872825|968120|263896|244919|979002|,301064|402568|498546|931607|356935|465598|917563|487767|172360|628952|364017|361920|724832|593082|448931|545797|577805|998207|732420|956557|215539|744090|588474|933276|569281|,526,557,70522,65108105099102000000000000000000000000000000000000000000000000000000000521,66114111119111000000000000000000000000000000000000000000000000000000000521,97108105099101046098114111119110064101120097109112108101046099111110000521,4
603150,813077,465760,41331|969094|266845|259162|792752|552913|30660|328423|423315|465406|465466|699243|653959|810769|671072|863321|527691|697695|425108|52192|267477|177099|550251|650165|550675|,165853|76924|765945|688332|414780|625881|193864|272933|910920|510617|615646|388032|774742|417169|439461|653823|299017|353313|936671|7590|531849|926378|30124|13726|394851|,460317|790137|456790|529981|369647|21445|751108|970484|798697|497873|164874|646036|267099|724452|602355|440819|175728|85112|643804|319082|234205|131908|497135|650737|227187|,527,544,45522,84111110000000000000000000000000000000000000000000000000000000000000000521,87105108115111111000000000000000000000000000000000000000000000000000000521,116111109046119105108115111110064101120097109112108101046099111110000000521,5
771751,311947,472726,316181|466414|76096|642394|814531|173442|201270|836776|102420|510897|138157|508019|633666|293015|113630|827755|248479|623528|552641|536475|502374|812829|576232|194978|620269|,840697|997512|861899|697526|565367|764056|881036|974564|314642|93651|465240|431818|941296|523159|204577|770911|926060|963631|984557|648846|576959|177070|378900|169322|356490|,404786|521108|644095|368706|887688|611216|304579|820024|585646|485419|802988|386628|595251|446845|303771|45837|772475|438577|137014|971640|799967|302971|552723|378411|663921|,528,551,58522,83097114098000000000000000000000000000000000000000000000000000000000000521,77105108108101115000000000000000000000000000000000000000000000000000000521,115097114097046109105108108101114064101120097109112108101046099111110000521,6
353016,234831,767421,595229|520739|787263|626876|11114|938801|205694|555418|148576|633483|972838|491956|493060|173670|673178|281152|213951|210944|551039|458771|301149|648952|597514|712269|397040|,489482|419316|737314|255701|473511|312011|159493|824206|36397|503906|180531|342351|360392|449897|770585|381524|86180|679511|84898|982831|739598|262851|754337|800736|91302|,802002|178968|404956|38595|79435|749475|351408|246819|659335|532164|353471|768845|864708|347724|641383|741510|785112|144034|902658|476203|136578|926451|567752|571569|368604|,529,555,67522,77105107102000000000000000000000000000000000000000000000000000000000000521,67108097114108000000000000000000000000000000000000000000000000000000000521,109105107101046099108097114107064101120097109112108101046099111110000000521,7
172918,523986,165623,121452|538458|777401|122373|681563|883023|746525|874788|936189|772398|168834|379417|930382|18758|1684|665983|643198|286596|832011|571328|610595|312190|165801|21232|481678|,603484|784737|151814|473656|733859|363986|720375|364954|25695|662896|632689|471323|375597|643652|471665|407780|962338|57674|521793|842704|177500|357624|598034|546495|567715|,264414|673265|178313|904379|395624|634345|879504|467144|488065|279158|822447|10206|626642|892385|101263|115813|868648|200701|869080|169701|264372|618812|217923|359540|406763|,530,548,52522,69109105108122000000000000000000000000000000000000000000000000000000000521,68097118105116000000000000000000000000000000000000000000000000000000000521,101109105108121046100097118105115064101120097109112108101046099111110000521,8
471598,38606,777721,123470|177752|820169|269980|128324|370605|187214|819020|200227|870060|679310|82092|137165|839957|424709|823323|95543|144201|90639|664350|299013|130685|812053|690733|492049|,647834|416479|138583|249163|801781|189326|602770|796410|546022|836833|895651|78177|262471|505588|807846|659772|693387|627146|54971|350761|865080|48191|821261|268196|385346|,859680|796416|374763|125126|811350|500150|333120|336543|954301|763134|290061|330153|134802|446875|151585|826448|208011|42924|925081|260371|836033|180988|933274|258075|525513|,531,553,63522,68097118105101000000000000000000000000000000000000000000000000000000000521,87104105116102000000000000000000000000000000000000000000000000000000000521,100097118105100046119104105116101064101120097109112108101046099111110000521,9
378408,857146,517682,873952|630889|899454|200290|17604|402750|25214|928107|866527|822775|60261|352991|248670|343647|567701|220894|359137|403591|641191|722218|93131|131691|364560|15718|151544|,980932|340895|4400|976526|234409|170402|132887|776493|361827|430120|475131|607872|919628|358114|812352|505845|832098|283747|118894|703177|63725|711175|721449|641660|89547|,961007|800840|160036|767701|671210|512851|291742|589168|441583|622110|793823|998962|930630|502140|683112|596462|421191|99426|563992|905502|43451|906458|726747|17196|274591|,532,549,56522,76105110100098000000000000000000000000000000000000000000000000000000000521,76101102000000000000000000000000000000000000000000000000000000000000000521,108105110100097046108101101064101120097109112108101046099111110000000000521,10
